meta_review,paper,Intervention,Age,Outcome,followup_rank,Raters,Class,measure,value,CI_95,CI_lower,CI_upper,p_value,PI_95,n_studies,total_n,egger_p,ESB_p,indirectness,report,rob,es,ci_lo,ci_up,Factor
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Generalized anxiety,Endpoint (~12wk),Parent-rated,Low,G,0.039,"[-0.258, 0.336]",-0.258,0.336,7.97e-01,"[-1.888, 1.966]",2,171,NaN,6.10e-01,no,100,100,0.039,-0.258,0.336,Ang (2023)_Acupuncture_Generalized anxiety_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Learning disorder symptoms,Endpoint (~12wk),Parent-rated,Very low,G,0.625,"[0.321, 0.93]",0.321,0.93,5.72e-05,"[-1.349, 2.6]",2,171,NaN,1.91e-01,no,100,100,0.625,0.321,0.93,Ang (2023)_Acupuncture_Learning disorder symptoms_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Conduct disorder symptoms (CD),Endpoint (~12wk),Parent-rated,Very low,G,0.662,"[0.356, 0.968]",0.356,0.968,2.17e-05,"[-1.319, 2.643]",2,171,NaN,2.69e-01,no,100,100,0.662,0.356,0.968,Ang (2023)_Acupuncture_Conduct Disorder symptoms_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,0.793,"[0.484, 1.101]",0.484,1.101,4.96e-07,"[-1.21, 2.795]",2,171,NaN,3.67e-01,no,100,100,0.793,0.484,1.101,Ang (2023)_Acupuncture_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,High,G,0.635,"[0.479, 0.79]",0.479,0.79,1.19e-15,"[0.26, 1.01]",8,1497,3.62e-01,2.31e-01,no,100,86.8603457270275,0.635,0.479,0.79,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Low,RR,1.366,"[1.047, 1.781]",1.047,1.781,2.13e-02,"[0.683, 2.73]",11,1456,5.81e-01,6.05e-01,no,100,84.3438776794575,0.311886761148598,0.0459289318883997,0.577175004307525,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
8992,Fahrat (2024),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Tics/Tourette disorder symptoms,Endpoint (~12wk),N/A,Low,G,0.771,"[0.524, 1.018]",0.524,1.018,8.84e-10,"[0.371, 1.171]",4,297,5.47e-01,1.64e-01,no,100,100,0.771,0.524,1.018,Fahrat (2024)_Alpha-2 agonists (guanfacine / clonidine)_Tics/Tourette disorder symptoms_Mixed_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Very low,RR,0.281,"[0.125, 0.634]",0.125,0.634,2.21e-03,"[0.056, 1.415]",8,1287,4.30e-01,2.51e-03,no,100,86.6889648171869,-1.26940060964839,-2.07944154167984,-0.455706324544911,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
3090,Ruggiero (2014),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Very low,RR,0.3,"[0.169, 0.532]",0.169,0.532,3.76e-05,"[0.051, 1.755]",6,1704,6.08e-02,3.31e-04,no,79.627556838023,79.627556838023,-1.20397280432594,-1.77785656405906,-0.631111789640493,Ruggiero (2014)_Alpha-2 agonists (guanfacine / clonidine)_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
2902,Radonjic (2023),Alpha-2 agonists (guanfacine / clonidine),Adults (>=18yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.66,"[0.382, 0.939]",0.382,0.939,3.24e-06,"[-1.142, 2.463]",2,235,NaN,7.86e-01,no,17.5121083619884,17.5121083619884,0.66,0.382,0.939,Radonjic (2023)_Alpha-2 agonists (guanfacine / clonidine)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),AE (decreased appetite),Endpoint (~12wk),,Low,RR,0.185,"[0.104, 0.329]",0.104,0.329,1.02e-08,"[0.037, 0.927]",11,2467,6.26e-03,2.73e-01,no,70.8011349391913,70.8011349391913,-1.68739945390381,-2.26336437984076,-1.11169752821676,Punja (2016)_Amphetamine_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Low,RR,0.281,"[0.174, 0.456]",0.174,0.456,2.52e-07,"[0.088, 0.898]",10,2429,9.06e-02,4.69e-01,no,67.3035477565818,67.3035477565818,-1.26940060964839,-1.74869997976761,-0.785262469467751,Punja (2016)_Amphetamine_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Amphetamines,Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Moderate,RR,0.463,"[0.223, 0.959]",0.223,0.959,3.83e-02,"[0.174, 1.228]",7,1343,1.84e-01,4.34e-01,no,100,100,-0.770028224895903,-1.50058350752202,-0.0418642040986989,Cortese - Children (2018)_Amphetamine_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Amphetamines,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Moderate,RR,1.227,"[0.858, 1.756]",0.858,1.756,2.63e-01,"[0.486, 3.1]",7,1343,1.12e-01,4.74e-01,no,100,100,0.204572165728775,-0.153151179494175,0.563038495212925,Cortese - Children (2018)_Amphetamine_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),Academic/job performance,Endpoint (~12wk),,Moderate,G,0.551,"[0.374, 0.728]",0.374,0.728,1.02e-09,"[0.149, 0.952]",8,826,3.52e-02,9.07e-01,no,100,100,0.551,0.374,0.728,Punja (2016)_Amphetamine_Academic/job performance_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Amphetamines,Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Moderate,G,1.024,"[0.672, 1.376]",0.672,1.376,1.17e-08,"[-0.078, 2.126]",5,876,5.11e-01,3.55e-01,no,100,100,1.024,0.672,1.376,Cortese - Children (2018)_Amphetamine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Low,G,0.568,"[0.28, 0.855]",0.28,0.855,1.07e-04,"[-0.288, 1.423]",7,1247,6.63e-01,5.71e-01,no,82.6508569833238,82.6508569833238,0.568,0.28,0.855,Punja (2016)_Amphetamine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
8888,Bellatto - children (2024),Amphetamines,Children/Adolescents (6-17yo),Quality of life,Endpoint (~12wk),Self-rated,Very low,G,0.475,"[-0.523, 1.474]",-0.523,1.474,3.51e-01,"[-10.598, 11.548]",2,521,NaN,6.16e-01,no,100,100,0.475,-0.523,1.474,Bellatto - children (2024)_Amphetamine_Quality of life (patients)_Self-rated_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Very low,G,0.553,"[0.274, 0.833]",0.274,0.833,1.04e-04,"[-0.141, 1.248]",5,745,4.38e-01,2.25e-01,no,100,100,0.553,0.274,0.833,Punja (2016)_Amphetamine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),CGI,Endpoint (~12wk),N/A,Very low,G,0.873,"[0.012, 1.733]",0.012,1.733,4.69e-02,"[-7.752, 9.497]",2,86,NaN,5.90e-01,no,100,100,0.873,0.012,1.733,Punja (2016)_Amphetamine_CGI_Mixed_At study endpoint (closest to 12 weeks)
1110,Faraone (2002),Amphetamines,Children/Adolescents (6-17yo),Disruptive behaviors,Endpoint (~12wk),N/A,Very low,G,1.049,"[0.645, 1.453]",0.645,1.453,3.70e-07,"[-0.156, 2.254]",3,130,3.34e-01,9.24e-01,no,0,0,1.049,0.645,1.453,Faraone (2002)_Amphetamine_Disruptive behaviors_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Amphetamines,Adults (>=18yo),Tolerability,Endpoint (~12wk),,High,RR,0.398,"[0.22, 0.718]",0.22,0.718,2.24e-03,"[0.203, 0.779]",11,1995,8.58e-01,9.17e-01,no,96.4312148914133,96.4312148914133,-0.921303273697699,-1.51412773262978,-0.331285709933913,Ostinelli (2025)_Amphetamine_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Amphetamines,Adults (>=18yo),Acceptability,Endpoint (~12wk),,Moderate,RR,1.189,"[0.951, 1.485]",0.951,1.485,1.29e-01,"[0.747, 1.89]",10,1957,6.07e-01,6.42e-01,no,100,100,0.173112617708645,-0.0502412164367468,0.395414772254663,Ostinelli (2025)_Amphetamine_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Amphetamines,Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,Low,G,0.534,"[0.297, 0.77]",0.297,0.77,9.58e-06,"[0.15, 0.917]",4,300,5.04e-01,5.60e-01,no,100,100,0.534,0.297,0.77,Ostinelli (2025)_Amphetamine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Amphetamines,Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Low,G,0.631,"[0.395, 0.868]",0.395,0.868,1.71e-07,"[-0.113, 1.376]",9,1857,3.14e-01,3.76e-01,no,86.6190203861575,86.6190203861575,0.631,0.395,0.868,Ostinelli (2025)_Amphetamine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
563,Castells (2018),Amphetamines,Adults (>=18yo),Depressive disorder symptoms,Endpoint (~12wk),Clinician-rated,Very low,G,-0.157,"[-0.523, 0.209]",-0.523,0.209,4.00e-01,"[-2.529, 2.215]",2,110,NaN,6.68e-01,no,100,100,-0.157,-0.523,0.209,Castells (2018)_Amphetamine_Depressive disorder symptoms_Clinician-rated_At study endpoint (closest to 12 weeks)
563,Castells (2018),Amphetamines,Adults (>=18yo),Generalized anxiety,Endpoint (~12wk),Clinician-rated,Very low,G,-0.13,"[-0.495, 0.236]",-0.495,0.236,4.88e-01,"[-2.502, 2.243]",2,110,NaN,6.52e-01,no,100,100,-0.13,-0.495,0.236,Castells (2018)_Amphetamine_Generalized anxiety_Clinician-rated_At study endpoint (closest to 12 weeks)
2027,Lenzi (2018),Amphetamines,Adults (>=18yo),Emotional dysregulation,Endpoint (~12wk),N/A,Very low,G,0.344,"[0.121, 0.567]",0.121,0.567,2.54e-03,"[-0.407, 1.095]",3,235,1.18e-01,9.93e-02,no,100,100,0.344,0.121,0.567,Lenzi (2018)_Amphetamine_Emotional dysregulation_Mixed_At study endpoint (closest to 12 weeks)
8888,Bellato - adults (2024),Amphetamines,Adults (>=18yo),Quality of life,Endpoint (~12wk),Self-rated,Very low,G,0.524,"[0.325, 0.723]",0.325,0.723,2.51e-07,"[-1.02, 2.067]",2,429,NaN,3.55e-01,no,100,100,0.524,0.325,0.723,Bellato - adults (2024)_Amphetamine_Quality of life (patients)_Self-rated_At study endpoint (closest to 12 weeks)
1056,Elliott (2020),Amphetamines,Adults (>=18yo),Exec. functions (report),Endpoint (~12wk),N/A,Very low,G,0.655,"[0.507, 0.804]",0.507,0.804,5.79e-18,"[0.414, 0.897]",4,722,8.13e-01,3.86e-01,no,0,0,0.655,0.507,0.804,Elliott (2020)_Amphetamine_Executive functioning (report)_Mixed_At study endpoint (closest to 12 weeks)
563,Castells (2018),Amphetamines,Adults (>=18yo),CGI,Endpoint (~12wk),N/A,Very low,G,0.85,"[0.594, 1.105]",0.594,1.105,7.20e-11,"[0.201, 1.498]",3,341,6.59e-02,1.19e-01,no,100,100,0.85,0.594,1.105,Castells (2018)_Amphetamine_CGI_Mixed_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Atomoxetine,Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,High,RR,0.542,"[0.273, 1.077]",0.273,1.077,8.03e-02,"[0.251, 1.171]",12,1799,4.56e-01,8.33e-01,no,100,100,-0.612489277542491,-1.29828348379718,0.0741793981742515,Cortese - Children (2018)_Atomoxetine_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Atomoxetine,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,High,RR,0.999,"[0.767, 1.3]",0.767,1.3,9.93e-01,"[0.612, 1.63]",13,1831,1.72e-01,7.73e-01,no,100,100,-0.00100050033358353,-0.265268477614881,0.262364264467491,Cortese - Children (2018)_Atomoxetine_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Atomoxetine,Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Moderate,G,0.527,"[0.415, 0.64]",0.415,0.64,3.82e-20,"[0.211, 0.844]",17,2467,6.76e-02,3.67e-01,no,100,100,0.527,0.415,0.64,Cortese - Children (2018)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
474,Bryant (2021),Atomoxetine,Children/Adolescents (6-17yo),Generalized anxiety,Endpoint (~12wk),N/A,Low,G,0.17,"[-0.128, 0.468]",-0.128,0.468,2.63e-01,"[-0.931, 1.272]",3,498,8.30e-01,4.11e-01,no,100,100,0.17,-0.128,0.468,Bryant (2021)_Atomoxetine_Generalized anxiety_Mixed_At study endpoint (closest to 12 weeks)
8888,Bellatto - children (2024),Atomoxetine,Children/Adolescents (6-17yo),Quality of life,Endpoint (~12wk),,Moderate,G,0.334,"[0.193, 0.476]",0.193,0.476,3.39e-06,"[0.066, 0.602]",6,1179,8.25e-01,9.29e-01,no,100,83.1353741817394,0.334,0.193,0.476,Bellatto - children (2024)_Atomoxetine_Quality of life (patients)_NA_At study endpoint (closest to 12 weeks)
474,Bryant (2021),Atomoxetine,Children/Adolescents (6-17yo),Depressive disorder symptoms,Endpoint (~12wk),N/A,Very low,G,0.152,"[-0.043, 0.346]",-0.043,0.346,1.26e-01,"[-0.348, 0.651]",4,774,8.89e-01,4.62e-01,no,100,100,0.152,-0.043,0.346,Bryant (2021)_Atomoxetine_Depressive disorder symptoms_Mixed_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Atomoxetine,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,0.403,"[0.032, 0.773]",0.032,0.773,3.33e-02,"[-0.852, 1.657]",8,1218,6.62e-01,7.16e-05,no,100,100,0.403,0.032,0.773,Cortese - Children (2018)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Atomoxetine,Children/Adolescents (6-17yo),Core ADHD symptoms [Teacher-rated],Endpoint (~12wk),Teacher-rated,Very low,G,0.447,"[-0.058, 0.952]",-0.058,0.952,8.24e-02,"[-3.773, 4.667]",2,119,NaN,3.48e-01,no,100,100,0.447,-0.058,0.952,Cortese - Children (2018)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Teacher-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Tolerability,Endpoint (~12wk),,High,RR,0.448,"[0.347, 0.579]",0.347,0.579,8.47e-10,"[0.338, 0.595]",14,3292,7.51e-01,6.01e-01,no,100,100,-0.802962046567152,-1.05843049903528,-0.546452801409142,Ostinelli (2025)_Atomoxetine_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
2027,Lenzi (2018),Atomoxetine,Adults (>=18yo),Emotional dysregulation,Endpoint (~12wk),N/A,High,G,0.244,"[0.143, 0.345]",0.143,0.345,2.06e-06,"[0.076, 0.412]",5,2373,7.76e-01,4.43e-01,no,100,100,0.244,0.143,0.345,Lenzi (2018)_Atomoxetine_Emotional dysregulation_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,High,G,0.368,"[0.265, 0.471]",0.265,0.471,2.31e-12,"[0.24, 0.496]",7,1734,7.38e-01,3.95e-01,no,100,100,0.368,0.265,0.471,Ostinelli (2025)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Acceptability,Endpoint (~12wk),,Moderate,RR,0.818,"[0.74, 0.904]",0.74,0.904,8.41e-05,"[0.667, 1.004]",14,3292,6.42e-01,5.75e-01,no,100,100,-0.20089294237939,-0.301105092783922,-0.100925918589961,Ostinelli (2025)_Atomoxetine_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Quality of life,Endpoint (~12wk),N/A,Very low,G,-0.222,"[-0.376, -0.068]",-0.376,-0.068,4.69e-03,"[-1.219, 0.775]",2,651,NaN,5.17e-01,no,100,100,-0.222,-0.376,-0.068,Ostinelli (2025)_Atomoxetine_Quality of life (patients)_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Follow-up (~26wk),Clinician-rated,Very low,G,0.33,"[0.075, 0.585]",0.075,0.585,1.12e-02,"[-0.599, 1.259]",3,1006,8.54e-01,5.88e-01,no,100,100,0.33,0.075,0.585,Ostinelli (2025)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At follow-up (closest to 26 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Core ADHD symptoms [Self-rated],Follow-up (~26wk),Self-rated,Very low,G,0.354,"[0.215, 0.493]",0.215,0.493,6.51e-07,"[-0.588, 1.296]",2,872,NaN,3.61e-01,no,100,100,0.354,0.215,0.493,Ostinelli (2025)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At follow-up (closest to 26 weeks)
1056,Elliott (2020),Atomoxetine,Adults (>=18yo),Exec. functions (report),Endpoint (~12wk),N/A,Very low,G,0.381,"[0.209, 0.554]",0.209,0.554,1.45e-05,"[-0.736, 1.499]",2,535,NaN,1.23e-01,no,0,0,0.381,0.209,0.554,Elliott (2020)_Atomoxetine_Executive functioning (report)_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Atomoxetine,Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Very low,G,0.547,"[0.331, 0.763]",0.331,0.763,6.85e-07,"[-0.186, 1.28]",11,2537,2.60e-02,2.54e-01,no,100,100,0.547,0.331,0.763,Ostinelli (2025)_Atomoxetine_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Bupropion,Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Very low,RR,0.354,"[0.042, 2.953]",0.042,2.953,3.37e-01,"[0, 331981.587]",2,139,NaN,6.81e-01,no,0,0,-1.03845836584836,-3.17008566069877,1.08282160276179,Catala-Lopez (2017)_Bupropion_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
575,Catala-Lopez (2017),Bupropion,Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Very low,RR,0.683,"[0.185, 2.521]",0.185,2.521,5.67e-01,"[0, 3243.975]",2,139,NaN,6.39e-01,no,0,0,-0.381260419411347,-1.68739945390381,0.924655648205783,Catala-Lopez (2017)_Bupropion_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
3442,Stuhec (2015),Bupropion,Children/Adolescents (6-17yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.314,"[-0.048, 0.676]",-0.048,0.676,8.95e-02,"[-2.034, 2.661]",2,124,NaN,7.74e-01,no,76.2923822738329,76.2923822738329,0.314,-0.048,0.676,Stuhec (2015)_Bupropion_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
3681,Verbeeck (2017),Bupropion,Adults (>=18yo),Depressive disorder symptoms,Endpoint (~12wk),N/A,Low,G,-0.16,"[-0.447, 0.127]",-0.447,0.127,2.73e-01,"[-2.021, 1.7]",2,184,NaN,6.96e-01,no,100,100,-0.16,-0.447,0.127,Verbeeck (2017)_Bupropion_Depressive disorder symptoms_Mixed_At study endpoint (closest to 12 weeks)
3681,Verbeeck (2017),Bupropion,Adults (>=18yo),Generalized anxiety,Endpoint (~12wk),N/A,Low,G,-0.106,"[-0.392, 0.181]",-0.392,0.181,4.71e-01,"[-1.965, 1.754]",2,184,NaN,6.54e-01,no,100,100,-0.106,-0.392,0.181,Verbeeck (2017)_Bupropion_Generalized anxiety_Mixed_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Bupropion,Adults (>=18yo),Acceptability,Endpoint (~12wk),,Very low,RR,0.972,"[0.212, 4.449]",0.212,4.449,9.70e-01,"[0, 620036.13]",2,99,NaN,6.91e-01,no,100,100,-0.028399474521698,-1.55116900431013,1.49267935182391,Ostinelli (2025)_Bupropion_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Bupropion,Adults (>=18yo),Tolerability,Endpoint (~12wk),,Very low,RR,1.258,"[0.081, 19.591]",0.081,19.591,8.70e-01,"[0, 67568287.368]",2,99,NaN,6.02e-01,no,100,100,0.229523158278249,-2.5133061243097,2.9750702771059,Ostinelli (2025)_Bupropion_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
757,Cortese - Adults (2018),Bupropion,Adults (>=18yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,Very low,G,0.386,"[0.079, 0.694]",0.079,0.694,1.38e-02,"[-1.606, 2.378]",2,202,NaN,4.59e-01,no,100,100,0.386,0.079,0.694,Cortese - Adults (2018)_Bupropion_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
999,Ostinelli (2025),Bupropion,Adults (>=18yo),Core ADHD symptoms [Self-rated],Endpoint (~12wk),Self-rated,Very low,G,0.798,"[0.25, 1.345]",0.25,1.345,4.28e-03,"[-2.75, 4.346]",2,64,NaN,6.28e-01,no,100,100,0.798,0.25,1.345,Ostinelli (2025)_Bupropion_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Self-rated_At study endpoint (closest to 12 weeks)
